Cohort,Row,PositionIdx,Move,Games,White %,Draw %,Black %,Freq,FEN,Rating,Ply,CohortPair
target,5,35,f7f6,1397,42.3765211166786,3.8654259126700072,53.75805297065139,0.0264403058520705,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,2000,5,1600-2000
target,5,34,a2a3,1,100.0,0.0,0.0,0.05,rnbq1rk1/pppp1ppp/3b1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 7,2000,12,1600-2000
target,5,33,a7a6,8,37.5,25.0,37.5,0.0363636363636363,rnbqk1nr/ppp2ppp/3b4/3Pp3/8/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 4,2000,7,1600-2000
target,4,34,h2h4,1,100.0,0.0,0.0,0.05,rnbq1rk1/pppp1ppp/3b1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 7,2000,12,1600-2000
target,4,35,b8d7,4388,41.86417502278943,5.970829535095716,52.16499544211486,0.0830494359906124,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,2000,5,1600-2000
base,7,31,f1e2,8,37.5,0.0,62.5,0.0006484033068568,r1bqkb1r/pp3ppp/2np1n2/4p3/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 7,1600,12,1600-2000
target,4,37,d4f5,19994,53.82114634390317,3.836150845253576,42.34270281084325,0.0190186295818926,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,2000,8,1600-2000
target,0,31,d4c2,5017,58.38150289017341,5.800279051225832,35.81821805860076,0.415142738932561,r1bqkb1r/pp3ppp/2np1n2/4p3/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 7,2000,12,1600-2000
target,0,32,f1e2,2400,52.625,7.583333333333334,39.79166666666666,0.3770620581304006,r1bqkb1r/p4ppp/2pp1n2/4p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,2000,14,1600-2000
target,0,33,f7f5,85,52.94117647058824,3.5294117647058822,43.52941176470589,0.3863636363636363,rnbqk1nr/ppp2ppp/3b4/3Pp3/8/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 4,2000,7,1600-2000
target,0,34,c1e3,8,50.0,0.0,50.0,0.4,rnbq1rk1/pppp1ppp/3b1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 7,2000,12,1600-2000
base,7,32,c4c5,213,49.29577464788733,3.755868544600939,46.948356807511736,0.0193022202084277,r1bqkb1r/p4ppp/2pp1n2/4p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,1600,14,1600-2000
base,7,33,b8d7,30,60.0,0.0,40.0,0.0167691447736165,rnbqk1nr/ppp2ppp/3b4/3Pp3/8/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 4,1600,7,1600-2000
target,4,36,d8f6,135148,43.24074348122059,5.261639091958446,51.497617426820966,0.0502120342732392,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,2000,7,1600-2000
base,7,34,f3g5,3,100.0,0.0,0.0,0.0053859964093357,rnbq1rk1/pppp1ppp/3b1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 7,1600,12,1600-2000
base,7,36,d8h4,223313,53.978496549685865,5.0888215195711854,40.93268193074295,0.0212833990764324,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,1600,7,1600-2000
target,0,35,d8b6,14040,46.0042735042735,5.448717948717949,48.54700854700855,0.2657279127867363,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,2000,5,1600-2000
target,0,36,f8c5,1048017,44.43763793907923,5.619565331478402,49.94279672944237,0.3893736165014456,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,2000,7,1600-2000
base,7,37,f1c4,2290,24.803493449781666,2.663755458515284,72.53275109170305,0.0009189715865221,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,1600,8,1600-2000
target,2,32,c1g5,1160,46.46551724137931,6.637931034482758,46.89655172413793,0.1822466614296936,r1bqkb1r/p4ppp/2pp1n2/4p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,2000,14,1600-2000
base,3,36,d8f6,641857,46.05060005577567,4.055108848232551,49.89429109599179,0.0611737726016921,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,1600,7,1600-2000
target,2,34,f1d3,3,66.66666666666666,0.0,33.33333333333333,0.15,rnbq1rk1/pppp1ppp/3b1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 7,2000,12,1600-2000
target,1,32,f1d3,1615,50.40247678018576,6.006191950464396,43.59133126934985,0.2537313432835821,r1bqkb1r/p4ppp/2pp1n2/4p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,2000,14,1600-2000
target,5,36,d8h4,120635,49.62904629668007,5.566377916856633,44.804575786463296,0.0448199659229305,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,2000,7,1600-2000
target,1,34,c1g5,5,40.0,20.0,40.0,0.25,rnbq1rk1/pppp1ppp/3b1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 7,2000,12,1600-2000
target,1,35,c8f5,13247,43.52683626481467,6.17498301502227,50.29818072016305,0.2507192066015595,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,2000,5,1600-2000
target,1,36,g8f6,621585,47.89610431397154,6.702864451362244,45.40103123466622,0.2309397647300101,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,2000,7,1600-2000
target,1,37,d4c6,300254,47.9517341983787,5.968613240789465,46.07965256083183,0.2856066623227764,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,2000,8,1600-2000
base,5,31,d4f5,753,47.54316069057105,3.187250996015936,49.26958831341302,0.0610309612579024,r1bqkb1r/pp3ppp/2np1n2/4p3/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 7,1600,12,1600-2000
base,2,31,d4b5,2020,54.40594059405941,4.108910891089109,41.48514851485148,0.1637218349813584,r1bqkb1r/pp3ppp/2np1n2/4p3/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 7,1600,12,1600-2000
base,2,32,f1d3,2315,49.50323974082074,5.09719222462203,45.399568034557234,0.2097870412324422,r1bqkb1r/p4ppp/2pp1n2/4p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,1600,14,1600-2000
target,5,37,d4f3,4575,43.759562841530055,5.420765027322404,50.81967213114754,0.0043518170619765,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,2000,8,1600-2000
target,5,32,g2g3,171,47.368421052631575,9.35672514619883,43.27485380116959,0.026865671641791,r1bqkb1r/p4ppp/2pp1n2/4p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,2000,14,1600-2000
base,10,37,d1d3,726,20.110192837465565,1.9283746556473829,77.96143250688705,0.000291342083762,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,1600,8,1600-2000
base,1,35,h7h6,14840,43.90161725067385,4.508086253369272,51.59029649595688,0.2251589312536983,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,1600,5,1600-2000
target,7,32,h2h3,115,51.30434782608696,5.217391304347826,43.47826086956522,0.0180675569520816,r1bqkb1r/p4ppp/2pp1n2/4p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,2000,14,1600-2000
target,7,33,b8a6,4,0.0,25.0,75.0,0.0181818181818181,rnbqk1nr/ppp2ppp/3b4/3Pp3/8/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 4,2000,7,1600-2000
target,7,35,d8a5,726,40.77134986225895,5.647382920110193,53.58126721763086,0.0137406313876902,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,2000,5,1600-2000
target,7,36,c6e5,37209,41.4711494530893,3.947969577252816,54.58088096965788,0.0138243968336413,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,2000,7,1600-2000
target,7,37,d4b5,283,42.40282685512368,3.886925795053004,53.71024734982333,0.0002691943668938,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,2000,8,1600-2000
target,6,37,b1c3,1221,22.52252252252252,2.702702702702702,74.77477477477478,0.0011614357667045,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,2000,8,1600-2000
