Cohort,Row,PuzzleIdx,Move,Games,White %,Draw %,Black %,Freq,FEN,Rating,Ply,CohortPair
base,3,135,e7e5,22,31.818181818181817,0.0,68.18181818181817,0.1476510067114094,rn2kbnr/ppp1pppp/8/3q4/8/5P2/PPPP2PP/RNBQK1NR b KQkq - 0 5,0,9,0-1000
base,2,135,g8f6,24,20.833333333333336,25.0,54.16666666666666,0.1610738255033557,rn2kbnr/ppp1pppp/8/3q4/8/5P2/PPPP2PP/RNBQK1NR b KQkq - 0 5,0,9,0-1000
base,1,135,b8c6,33,60.60606060606061,9.090909090909092,30.303030303030305,0.2214765100671141,rn2kbnr/ppp1pppp/8/3q4/8/5P2/PPPP2PP/RNBQK1NR b KQkq - 0 5,0,9,0-1000
base,0,135,d5e5,34,47.05882352941176,11.76470588235294,41.17647058823529,0.2281879194630872,rn2kbnr/ppp1pppp/8/3q4/8/5P2/PPPP2PP/RNBQK1NR b KQkq - 0 5,0,9,0-1000
base,8,136,h2h4,1047,53.00859598853869,3.7249283667621778,43.26647564469914,0.0037978540492306,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0,6,0-1000
target,9,122,d4e2,10,60.0,0.0,40.0,0.0229357798165137,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1400,6,1000-1400
target,10,122,g2g3,9,44.44444444444444,11.11111111111111,44.44444444444444,0.0206422018348623,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1400,6,1000-1400
target,11,122,h2h3,7,28.57142857142857,0.0,71.42857142857143,0.0160550458715596,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1400,6,1000-1400
base,0,123,b2b4,32,50.0,6.25,43.75,0.2352941176470588,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
base,1,123,d4b5,28,53.57142857142857,3.571428571428571,42.85714285714285,0.2058823529411764,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
base,2,123,d4b3,15,53.333333333333336,0.0,46.66666666666666,0.1102941176470588,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
base,6,123,d1a4,7,42.85714285714285,0.0,57.14285714285714,0.0514705882352941,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
base,4,123,d2d3,11,63.63636363636363,0.0,36.36363636363637,0.0808823529411764,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
target,4,123,f1c4,8,62.5,0.0,37.5,0.0808080808080808,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1400,8,1000-1400
base,7,123,f1b5,6,16.666666666666664,0.0,83.33333333333334,0.0441176470588235,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
base,8,123,f1e2,5,100.0,0.0,0.0,0.0367647058823529,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
base,9,123,d4e2,4,0.0,25.0,75.0,0.0294117647058823,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
base,3,123,d1g4,11,36.36363636363637,0.0,63.63636363636363,0.0808823529411764,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
base,5,123,f1c4,10,30.0,20.0,50.0,0.0735294117647058,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
target,6,128,f7f5,694151,51.27659543816835,2.728224838687836,45.99517972314381,0.0144025152691547,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,1400,5,1000-1400
base,2,122,d2d3,72,54.16666666666666,2.7777777777777777,43.05555555555556,0.0849056603773584,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1000,6,1000-1400
base,10,123,f2f4,4,75.0,0.0,25.0,0.0294117647058823,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
target,7,128,f7f6,567786,35.18649632079692,3.552923108354204,61.26058057084888,0.0117806450392094,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,1400,5,1000-1400
target,8,128,a7a6,411501,40.06454419308823,3.3127501512754525,56.62270565563632,0.0085379829976077,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,1400,5,1000-1400
target,9,128,d8f6,305622,43.69711604531087,3.5543907179456977,52.74849323674344,0.0063411642734644,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,1400,5,1000-1400
